nc = 37;
np = 2;
nv = 30;
tt = [
[36, 36, 36, 36, 36, 36, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 97, 97, 97, 97, 97, 97, 97, 97, 97, 97, 97, 97, 97, 97, 46, 46, 51, 51, 51, 44, 44],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 3185.965, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 3185.965, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 3185.965, 4826.1050000000005, 4826.1050000000005, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 3185.965, 4826.1050000000005, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 3185.965, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 3330.1000000000004, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 3330.1000000000004, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 5114.375, 3330.1000000000004, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 5114.375, 5114.375, 3330.1000000000004, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 5114.375, 5114.375, 5114.375, 3330.1000000000004, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 3330.1000000000004, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 3330.1000000000004, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 3330.1000000000004, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 3330.1000000000004, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 3330.1000000000004, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 3330.1000000000004, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 3330.1000000000004, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 3330.1000000000004, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 3330.1000000000004, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[3934.545, 3934.545, 3934.545, 3934.545, 3934.545, 3934.545, 4028.8600000000006, 4028.8600000000006, 4028.8600000000006, 4028.8600000000006, 4028.8600000000006, 4028.8600000000006, 4028.8600000000006, 4028.8600000000006, 4028.8600000000006, 4028.8600000000006, 4172.995000000001, 4172.995000000001, 4172.995000000001, 4172.995000000001, 4172.995000000001, 4172.995000000001, 4172.995000000001, 4172.995000000001, 4172.995000000001, 4172.995000000001, 4172.995000000001, 4172.995000000001, 4172.995000000001, 4172.995000000001, 2388.7200000000003, 3138.525, 3700.3700000000003, 3700.3700000000003, 3700.3700000000003, 3415.9000000000005, 3094.0400000000004],
[3841.455, 3841.455, 3841.455, 3841.455, 3841.455, 3841.455, 3935.7700000000004, 3935.7700000000004, 3935.7700000000004, 3935.7700000000004, 3935.7700000000004, 3935.7700000000004, 3935.7700000000004, 3935.7700000000004, 3935.7700000000004, 3935.7700000000004, 4079.905, 4079.905, 4079.905, 4079.905, 4079.905, 4079.905, 4079.905, 4079.905, 4079.905, 4079.905, 4079.905, 4079.905, 4079.905, 4079.905, 3138.525, 2295.63, 3607.28, 3607.28, 3607.28, 3322.8100000000004, 3000.9500000000003],
[4403.3, 4403.3, 4403.3, 4403.3, 4403.3, 4403.3, 4497.615000000001, 4497.615000000001, 4497.615000000001, 4497.615000000001, 4497.615000000001, 4497.615000000001, 4497.615000000001, 4497.615000000001, 4497.615000000001, 4497.615000000001, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 3700.3700000000003, 3607.28, 2857.4750000000004, 4169.125, 4169.125, 3884.6550000000007, 3562.7950000000005],
[4403.3, 4403.3, 4403.3, 4403.3, 4403.3, 4403.3, 4497.615000000001, 4497.615000000001, 4497.615000000001, 4497.615000000001, 4497.615000000001, 4497.615000000001, 4497.615000000001, 4497.615000000001, 4497.615000000001, 4497.615000000001, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 3700.3700000000003, 3607.28, 4169.125, 2857.4750000000004, 4169.125, 3884.6550000000007, 3562.7950000000005],
[4403.3, 4403.3, 4403.3, 4403.3, 4403.3, 4403.3, 4497.615000000001, 4497.615000000001, 4497.615000000001, 4497.615000000001, 4497.615000000001, 4497.615000000001, 4497.615000000001, 4497.615000000001, 4497.615000000001, 4497.615000000001, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 4641.75, 3700.3700000000003, 3607.28, 4169.125, 4169.125, 2857.4750000000004, 3884.6550000000007, 3562.7950000000005],
[4118.83, 4118.83, 4118.83, 4118.83, 4118.83, 4118.83, 4213.145, 4213.145, 4213.145, 4213.145, 4213.145, 4213.145, 4213.145, 4213.145, 4213.145, 4213.145, 4357.280000000001, 4357.280000000001, 4357.280000000001, 4357.280000000001, 4357.280000000001, 4357.280000000001, 4357.280000000001, 4357.280000000001, 4357.280000000001, 4357.280000000001, 4357.280000000001, 4357.280000000001, 4357.280000000001, 4357.280000000001, 3415.9, 3322.81, 3884.655, 3884.655, 3884.655, 2573.005, 3278.3250000000003],
[3796.9700000000003, 3796.9700000000003, 3796.9700000000003, 3796.9700000000003, 3796.9700000000003, 3796.9700000000003, 3891.285, 3891.285, 3891.285, 3891.285, 3891.285, 3891.285, 3891.285, 3891.285, 3891.285, 3891.285, 4035.42, 4035.42, 4035.42, 4035.42, 4035.42, 4035.42, 4035.42, 4035.42, 4035.42, 4035.42, 4035.42, 4035.42, 4035.42, 4035.42, 3094.04, 3000.95, 3562.795, 3562.795, 3562.795, 3278.325, 2251.145]
],
[
[3091.65, 4637.475, 4637.475, 4637.475, 4637.475, 4637.475, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 3934.545, 3841.455, 4403.3, 4403.3, 4403.3, 4118.83, 3796.9700000000003],
[4637.475, 3091.65, 4637.475, 4637.475, 4637.475, 4637.475, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 3934.545, 3841.455, 4403.3, 4403.3, 4403.3, 4118.83, 3796.9700000000003],
[3091.65, 3091.65, 1545.825, 3091.65, 3091.65, 3091.65, 3185.965, 3185.965, 3185.965, 3185.965, 3185.965, 3185.965, 3185.965, 3185.965, 3185.965, 3185.965, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 3330.1000000000004, 2388.7200000000003, 2295.63, 2857.4750000000004, 2857.4750000000004, 2857.4750000000004, 2573.005, 2251.145],
[4637.475, 4637.475, 4637.475, 3091.65, 4637.475, 4637.475, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 3934.545, 3841.455, 4403.3, 4403.3, 4403.3, 4118.83, 3796.9700000000003],
[4637.475, 4637.475, 4637.475, 4637.475, 3091.65, 4637.475, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 3934.545, 3841.455, 4403.3, 4403.3, 4403.3, 4118.83, 3796.9700000000003],
[4637.475, 4637.475, 4637.475, 4637.475, 4637.475, 3091.65, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 3934.545, 3841.455, 4403.3, 4403.3, 4403.3, 4118.83, 3796.9700000000003],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 3185.965, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4826.1050000000005, 3185.965, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4826.1050000000005, 4826.1050000000005, 3185.965, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 3185.965, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 3185.965, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 3185.965, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 3185.965, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 3185.965, 4826.1050000000005, 4826.1050000000005, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 3185.965, 4826.1050000000005, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4731.79, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 4826.1050000000005, 3185.965, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4970.24, 4028.86, 3935.77, 4497.615, 4497.615, 4497.615, 4213.145, 3891.2850000000003],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 3330.1000000000004, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 3330.1000000000004, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 5114.375, 3330.1000000000004, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
[4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4875.925, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 4970.240000000001, 5114.375, 5114.375, 5114.375, 3330.1000000000004, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 5114.375, 4172.995000000001, 4079.905, 4641.75, 4641.75, 4641.75, 4357.280000000001, 4035.4200000000005],
